date,hexsha,author,insertions,deletions,lines,files,files_json
2020-08-09 12:33:55,3896a105eb3697b1a399255ac31c742c8840bd69,Bram Moolenaar,36,3,39,3,
2020-08-09 12:07:52,94f6c06ac54401ea34a07f8c45242f11bd1e1e3a,Bram Moolenaar,9,6,15,2,
2020-08-09 12:04:42,62a232506d06f6d1b3b7271801c907d6294dfe84,Bram Moolenaar,107,5,112,10,
2020-08-09 11:02:10,730b24833952f0f4a9a17b7815b0d9f87c609eb8,Bram Moolenaar,9,7,16,2,
2020-08-08 20:16:00,efa94447e85eacce62c1fcf6b63e7f3431e2cb1b,Bram Moolenaar,45,9,54,5,
2020-08-08 19:33:21,daa2f36573db3e1df7eb1fdbc3a09a2815644048,Bram Moolenaar,7,2,9,3,
2020-08-08 15:55:49,4a6d1b660fcea67931202527ad2852da55d26d49,Bram Moolenaar,25,1,26,3,
2020-08-08 14:47:30,5a849da57c5fb54ffcffd436a9e00ef40fdf094c,Bram Moolenaar,57,15,72,3,
2020-08-08 13:46:01,98b4f145eb89405021e23a4a37db51d60a75a1d0,Bram Moolenaar,20,10,30,8,
2020-08-08 13:10:27,2dd0a2c39a3b3fbffc94d0676e472c78d02ebdbd,Bram Moolenaar,35,11,46,4,
2020-08-08 12:41:52,b7f4fa517793b0fe1a4895781b4cba451d60d7c2,Bram Moolenaar,276,10,286,2,
2020-08-08 12:26:31,bf8feb5aeb71c8f56897845c4134793201aa459a,Bram Moolenaar,55,0,55,3,
2020-08-07 20:00:26,fa211f3c6d27cf962b28f10e3c18b12dde4d20c3,Bram Moolenaar,16,0,16,3,
2020-08-07 19:28:34,1c199f9c70446933677d5210f34d2b86eefa2a43,Bram Moolenaar,8,1,9,3,
2020-08-07 18:47:39,74d95b5b58a36697975c48192e84be808b2512a8,Bram Moolenaar,3,0,3,2,
2020-08-07 18:46:20,dd29f1b0569cca253c80856eda2e85e04c1e0627,Bram Moolenaar,77,32,109,3,
2020-08-07 17:54:59,e7b1ea0276cc83cd5c612f3189a174a60d57b5ed,Bram Moolenaar,400,162,562,38,
2020-08-07 17:28:08,95dd9f2571f09a915674133c73b471b0ebbdcdbf,Bram Moolenaar,28,6,34,3,
